elapsed_s,src_ip,rate_kbps,pps
147.503,10.0.4.4,575,46.5
148.519,10.0.4.4,575,47.3
149.521,10.0.4.4,575,46.9
150.546,10.0.4.4,575,45.9
151.563,10.0.4.4,575,47.2
152.576,10.0.4.4,575,47.4
153.592,10.0.4.4,575,48.2
154.599,10.0.4.4,575,45.7
155.613,10.0.4.4,575,47.3
156.613,10.0.4.4,575,47.0
157.620,10.0.4.4,575,45.7
158.641,10.0.4.4,575,46.0
159.645,10.0.4.4,575,46.8
160.649,10.0.4.4,575,46.8
161.662,10.0.4.4,575,46.4
162.664,10.0.4.4,575,45.9
163.667,10.0.4.4,575,47.9
164.677,10.0.4.4,575,45.5
165.694,10.0.4.4,575,47.2
