elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
80.035,10.0.4.4,193,13.5,1.0000,1
80.745,10.0.3.3,162,12.6,1.0000,1
80.835,10.0.2.2,162,13.3,1.0000,1
80.926,10.0.1.1,162,14.2,1.0000,1
81.127,10.0.4.4,164,12.8,1.0000,1
81.782,10.0.3.3,141,13.5,1.0000,1
81.890,10.0.2.2,141,12.3,1.0000,1
81.962,10.0.1.1,141,13.5,1.0000,1
82.200,10.0.4.4,125,13.0,1.0000,1
82.782,10.0.3.3,111,12.0,1.0000,1
82.945,10.0.2.2,111,12.3,1.0000,1
82.999,10.0.1.1,111,12.5,1.0000,1
83.273,10.0.4.4,111,13.0,1.0000,1
83.854,10.0.3.3,100,12.1,1.0000,1
84.000,10.0.2.2,100,12.3,1.0000,1
84.054,10.0.1.1,100,12.3,1.0000,1
84.363,10.0.4.4,100,12.8,1.0000,1
84.891,10.0.3.3,91,12.5,0.9231,1
85.056,10.0.2.2,91,12.3,0.7692,1
85.149,10.0.1.1,91,11.9,0.6923,1
85.365,10.0.4.4,91,11.0,0.5455,1
85.958,10.0.3.3,83,7.5,0.0000,0
86.165,10.0.2.2,83,7.2,0.0000,0
86.253,10.0.1.1,83,7.2,0.0000,0
86.474,10.0.4.4,83,7.2,0.0000,0
86.984,10.0.3.3,118,9.7,0.0000,0
87.188,10.0.2.2,118,9.8,0.0000,0
87.285,10.0.1.1,118,9.7,0.0000,0
87.540,10.0.4.4,118,9.4,0.0000,0
88.031,10.0.3.3,171,13.4,0.0000,0
88.195,10.0.2.2,171,12.9,0.0000,0
88.322,10.0.1.1,171,12.5,0.1538,0
88.540,10.0.4.4,171,12.0,0.4167,1
89.049,10.0.3.3,229,13.8,0.9286,1
89.231,10.0.2.2,229,13.5,1.0000,1
89.412,10.0.1.1,229,12.8,1.0000,1
89.594,10.0.4.4,217,12.3,1.0000,1
90.086,10.0.3.3,272,14.5,1.0000,1
90.267,10.0.2.2,272,13.5,1.0000,1
90.431,10.0.1.1,272,12.8,1.0000,1
90.595,10.0.4.4,186,11.0,1.0000,1
91.140,10.0.3.3,272,14.2,1.0000,1
91.267,10.0.2.2,272,14.0,1.0000,1
91.504,10.0.1.1,272,14.0,1.0000,1
91.794,10.0.4.4,160,8.3,1.0000,1
